Y,rr,rrt,ry,lev,SCFvti,SCFltv,SCFdti,mspread,PR,FHFA,mspread,mspreaddiff,mspreaddiff100
1998,3.504622147,3.504622147,1.989734948,0.471655221,2.03475,0.51237281,1.0425506,0.033286417,100,100,3.328641692,2.058572,0.02058572
1999,2.886022048,3.279043209,2.043148946,0.475205805,2.133226367,0.499753653,1.016521603,0.039371585,101.72415,104.9158105,3.937158491,2.133888,0.02133888
2000,2.742334347,3.05346427,2.161698198,0.461291806,2.231702733,0.487134497,0.990492607,0.045070485,104.43887,111.6319444,4.507048462,2.591813,0.02591813
2001,0.658399689,2.827885331,2.344900698,0.452111347,2.3301791,0.47451534,0.96446361,0.039618301,107.45982,119.9783581,3.961830077,2.485864,0.02485864
2002,0.406744363,2.602306393,2.483220241,0.45980142,2.490415367,0.47459182,1.087793873,0.032593974,109.94499,127.5803843,3.259397385,1.997122,0.01997122
2003,-1.056020521,2.376727454,2.604997209,0.47045625,2.650651633,0.4746683,1.211124137,0.028559695,113.46548,135.532011,2.855969462,1.718225,0.01718225
2004,-0.779486794,2.151148515,2.787910652,0.465453253,2.8108879,0.47474478,1.3344544,0.024900685,120.83988,148.2305936,2.490068528,1.384312,0.01384312
2005,0.255001502,1.925569576,3.043401044,0.45223917,2.862086933,0.470329967,1.345673233,0.029369227,130.63164,165.0292523,2.936922692,1.808331,0.01808331
2006,1.699990638,1.699990638,3.080677266,0.476328066,2.913285967,0.465915153,1.356892067,0.034092754,135.15469,176.8312405,3.409275385,1.998453,0.01998453
2007,1.652354712,1.652354712,2.837360389,0.541245115,2.964485,0.46150034,1.3681109,0.031349417,131.06672,178.7980403,3.134941692,1.667088,0.01667088
2008,-2.003191321,-2.003191321,2.430618358,0.645635142,2.8672822,0.49482916,1.412335567,0.038548248,119.95427,169.6144882,3.854824769,,
2009,-1.778221634,-1.778221634,2.205784195,0.720018591,2.7700794,0.52815798,1.456560233,0.02214894,110.73943,160.1550609,2.214894,,
2010,-1.324046596,-1.324046596,2.116144392,0.702589195,2.6728766,0.5614868,1.5007849,0.018701042,105.95016,153.5804319,1.87010417,,
2011,-1.959582612,-1.959582612,1.995927221,0.697501871,2.5677758,0.56034089,1.439070633,0.021150056,100.1528,147.6550609,2.115005615,,
2012,-1.903325785,-1.903325785,2.017717974,0.650336641,2.462675,0.55919498,1.377356367,0.019651645,97.29717,147.2269787,1.965164462,,
2013,-1.333535533,-1.333535533,2.168905552,0.578307616,2.3575742,0.55804907,1.3156421,0.016824533,98.28341,152.9026351,1.682453308,,
2014,-1.49119561,-1.49119561,2.255685462,0.542614212,2.346932533,0.533949473,1.253656333,0.01949512,100.1517,160.7198916,1.949512,,
2015,,,,,,,,,101.74451,169.0508467,,,
2016,,,,,2.3256492,0.48575028,1.1296848,,,178.1475932,,,
,,,,,,,,,,188.5678272,,,
,,,,,,,,,,199.8644406,,,
,,,,,,,,,,209.659199,,,
